alfa,beta,gamma,area
-10,-10,0.1,3.88989681771869e+84 
-10,-10,2.575,2.13596901785982e+85 
-10,-10,5.05,1.17305562377197e+86 
-10,-10,7.525,6.44328589876425e+86 
-10,-10,10,3.53964533114145e+87 
-10,-7.77777777777778,0.1,2.49846597899623e+65 
-10,-7.77777777777778,2.575,1.36704540993737e+66 
-10,-7.77777777777778,5.05,7.48174636156881e+66 
-10,-7.77777777777778,7.525,4.09571803978719e+67 
-10,-7.77777777777778,10,2.24264642268951e+68 
-10,-5.55555555555556,0.1,1.74925385037801e+46 
-10,-5.55555555555556,2.575,9.50975765176553e+46 
-10,-5.55555555555556,5.05,5.17253195085404e+47 
-10,-5.55555555555556,7.525,2.81477961413544e+48 
-10,-5.55555555555556,10,1.53244216730249e+49 
-10,-3.33333333333333,0.1,1.46270225837725e+27 
-10,-3.33333333333333,2.575,7.83279617569815e+27 
-10,-3.33333333333333,5.05,4.20033405851315e+28 
-10,-3.33333333333333,7.525,2.2553411800145e+29 
-10,-3.33333333333333,10,1.21244562672547e+30 
-10,-1.11111111111111,0.1,225531569.887488 
-10,-1.11111111111111,2.575,1117633122.88373 
-10,-1.11111111111111,5.05,5610137145.10594 
-10,-1.11111111111111,7.525,28446708340.1485 
-10,-1.11111111111111,10,145426286645.885 
-10,1.11111111111111,0.1,1.25109233150755e-06 
-10,1.11111111111111,2.575,1.54521109727572e-06 
-10,1.11111111111111,5.05,1.99672855993334e-06 
-10,1.11111111111111,7.525,2.74908577637971e-06 
-10,1.11111111111111,10,4.14081184671111e-06 
-10,3.33333333333333,0.1,9.75852508756524e-17 
-10,3.33333333333333,2.575,1.04959712924559e-16 
-10,3.33333333333333,5.05,1.13499003039595e-16 
-10,3.33333333333333,7.525,1.23491705523446e-16 
-10,3.33333333333333,10,1.35326133961012e-16 
-10,5.55555555555556,0.1,1.3211151770428e-26 
-10,5.55555555555556,2.575,1.3805915718417e-26 
-10,5.55555555555556,5.05,1.44556703616234e-26 
-10,5.55555555555556,7.525,1.51682486405001e-26 
-10,5.55555555555556,10,1.59530117160403e-26 
-10,7.77777777777778,0.1,2.11714122248103e-36 
-10,7.77777777777778,2.575,2.18501663852967e-36 
-10,7.77777777777778,5.05,2.25732744246371e-36 
-10,7.77777777777778,7.525,2.33451674826796e-36 
-10,7.77777777777778,10,2.41708783675285e-36 
-10,10,0.1,3.68721366515722e-46 
-10,10,2.575,3.77900266118435e-46 
-10,10,5.05,3.87542946927321e-46 
-10,10,7.525,3.9768508328069e-46 
-10,10,10,4.08366063116328e-46 
-7.77777777777778,-10,0.1,2.49846597899623e+65 
-7.77777777777778,-10,2.575,1.36704540993737e+66 
-7.77777777777778,-10,5.05,7.48174636156881e+66 
-7.77777777777778,-10,7.525,4.09571803978719e+67 
-7.77777777777778,-10,10,2.24264642268951e+68 
-7.77777777777778,-7.77777777777778,0.1,3.12538021923953e+50 
-7.77777777777778,-7.77777777777778,2.575,1.70223080845589e+51 
-7.77777777777778,-7.77777777777778,5.05,9.27506671307706e+51 
-7.77777777777778,-7.77777777777778,7.525,5.05581509006854e+52 
-7.77777777777778,-7.77777777777778,10,2.75698152611461e+53 
-7.77777777777778,-5.55555555555556,0.1,4.26297917758114e+35 
-7.77777777777778,-5.55555555555556,2.575,2.30264498681872e+36 
-7.77777777777778,-5.55555555555556,5.05,1.24480246657268e+37 
-7.77777777777778,-5.55555555555556,7.525,6.7346196432168e+37 
-7.77777777777778,-5.55555555555556,10,3.64624728948311e+38 
-7.77777777777778,-3.33333333333333,0.1,6.95141411673822e+20 
-7.77777777777778,-3.33333333333333,2.575,3.68228180715952e+21 
-7.77777777777778,-3.33333333333333,5.05,1.95508817778095e+22 
-7.77777777777778,-3.33333333333333,7.525,1.04022207703472e+23 
-7.77777777777778,-3.33333333333333,10,5.54516389636375e+23 
-7.77777777777778,-1.11111111111111,0.1,2106472.21501101 
-7.77777777777778,-1.11111111111111,2.575,10087869.1446656 
-7.77777777777778,-1.11111111111111,5.05,49349312.191167 
-7.77777777777778,-1.11111111111111,7.525,245211337.144216 
-7.77777777777778,-1.11111111111111,10,1233158728.67379 
-7.77777777777778,1.11111111111111,0.1,1.86557901136146e-05 
-7.77777777777778,1.11111111111111,2.575,2.43763150069189e-05 
-7.77777777777778,1.11111111111111,5.05,3.42029556837599e-05 
-7.77777777777778,1.11111111111111,7.525,5.3201431558762e-05 
-7.77777777777778,1.11111111111111,10,9.55737767976511e-05 
-7.77777777777778,3.33333333333333,0.1,2.0533673892487e-13 
-7.77777777777778,3.33333333333333,2.575,2.25390135452668e-13 
